mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X 
125.000000 300.000000 -0.650000 1.500000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 1 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 1.870000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 2.240000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 2.610000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 2.980000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 3.350000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 3.720000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 4.090000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 4.460000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 4.830000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 5.200000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 5.570000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 5.940000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 6.310000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 6.680000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 7.050000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 7.420000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 7.790000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 8.160000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 1 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 8.530000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 8.900000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 9.270000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 9.640000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 10.010000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 10.380000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 10.750000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 11.120000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
125.000000 300.000000 -0.650000 11.490000 -1.000000 1.000000 0.000000 233.856264 0.000000e+00 0 1 0 -nan -nan -nan -1.143673e-03 2.701426e-02 4.507354e-03 1.475063e-04 4.842521e-04 -1.018468e-04
