mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X  chisqdiff
125.000000 375.000000 -0.650000 1.500000 -1.000000 1.000000 0.000000 190.721438 2.089271e+00 1 1 1 164.887633 9.376539e-03 9.166578e-03 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 114.945
125.000000 375.000000 -0.650000 1.870000 -1.000000 1.000000 0.000000 189.929597 1.869467e+00 0 1 1 164.887633 1.200413e-02 1.343660e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 114.153
125.000000 375.000000 -0.650000 2.240000 -1.000000 1.000000 0.000000 189.895401 1.585483e+00 0 1 1 164.887633 1.496342e-02 1.886526e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 114.119
125.000000 375.000000 -0.650000 2.610000 -1.000000 1.000000 0.000000 190.210824 1.347539e+00 0 1 1 164.887633 1.825542e-02 2.537452e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 114.434
125.000000 375.000000 -0.650000 2.980000 -1.000000 1.000000 0.000000 190.652189 4.572748e+00 0 1 1 164.887633 2.188123e-02 3.293152e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 114.876
125.000000 375.000000 -0.650000 3.350000 -1.000000 1.000000 0.000000 191.107581 3.969276e+00 0 1 1 164.887633 2.584171e-02 4.152044e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 115.331
125.000000 375.000000 -0.650000 3.720000 -1.000000 1.000000 0.000000 191.528594 3.474848e+00 0 1 1 164.887633 3.013751e-02 5.113294e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 115.752
125.000000 375.000000 -0.650000 4.090000 -1.000000 1.000000 0.000000 191.898590 3.065591e+00 0 1 1 164.887633 3.476906e-02 6.176424e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 116.122
125.000000 375.000000 -0.650000 4.460000 -1.000000 1.000000 0.000000 192.216377 2.723617e+00 0 1 1 164.887633 3.973672e-02 7.341149e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 116.44
125.000000 375.000000 -0.650000 4.830000 -1.000000 1.000000 0.000000 192.488106 2.435424e+00 0 1 1 164.887633 4.504072e-02 8.607287e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 116.712
125.000000 375.000000 -0.650000 5.200000 -1.000000 1.000000 0.000000 192.723275 2.190682e+00 0 1 1 164.887633 5.068126e-02 9.974717e-02 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 116.947
125.000000 375.000000 -0.650000 5.570000 -1.000000 1.000000 0.000000 192.932762 1.981382e+00 0 1 0 164.887633 5.665849e-02 1.144336e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 117.156
125.000000 375.000000 -0.650000 5.940000 -1.000000 1.000000 0.000000 193.127885 1.801241e+00 0 1 0 164.887633 6.297251e-02 1.301316e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 117.351
125.000000 375.000000 -0.650000 6.310000 -1.000000 1.000000 0.000000 193.289485 1.645274e+00 0 1 0 164.887633 6.962341e-02 1.468407e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 117.513
125.000000 375.000000 -0.650000 6.680000 -1.000000 1.000000 0.000000 193.482636 1.509493e+00 0 1 0 164.887633 7.661128e-02 1.645607e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 117.706
125.000000 375.000000 -0.650000 7.050000 -1.000000 1.000000 0.000000 193.693545 1.390677e+00 0 1 0 164.887633 8.393616e-02 1.832913e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 117.917
125.000000 375.000000 -0.650000 7.420000 -1.000000 1.000000 0.000000 193.932452 1.286205e+00 0 1 0 164.887633 9.159810e-02 2.030324e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 118.156
125.000000 375.000000 -0.650000 7.790000 -1.000000 1.000000 0.000000 194.209128 1.193933e+00 0 1 0 164.887633 9.959714e-02 2.237838e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 118.433
125.000000 375.000000 -0.650000 8.160000 -1.000000 1.000000 0.000000 194.532809 5.979562e-01 0 1 0 164.887633 1.079333e-01 2.455454e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 118.756
125.000000 375.000000 -0.650000 8.530000 -1.000000 1.000000 0.000000 194.912117 6.622474e-01 0 1 0 164.887633 1.166066e-01 2.683172e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 119.136
125.000000 375.000000 -0.650000 8.900000 -1.000000 1.000000 0.000000 195.354967 7.294746e-01 0 1 0 164.887633 1.256172e-01 2.920991e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 119.579
125.000000 375.000000 -0.650000 9.270000 -1.000000 1.000000 0.000000 195.839573 8.000000e-01 0 1 0 164.887633 1.349649e-01 3.168911e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 120.063
125.000000 375.000000 -0.650000 9.640000 -1.000000 1.000000 0.000000 196.427137 8.742796e-01 0 1 0 164.887633 1.446498e-01 3.426930e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 120.651
125.000000 375.000000 -0.650000 10.010000 -1.000000 1.000000 0.000000 197.096643 9.514518e-01 0 1 0 164.887633 1.546720e-01 3.695049e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 121.32
125.000000 375.000000 -0.650000 10.380000 -1.000000 1.000000 0.000000 197.852188 1.032258e+00 0 1 0 164.887633 1.650314e-01 3.973268e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 122.076
125.000000 375.000000 -0.650000 10.750000 -1.000000 1.000000 0.000000 198.696687 1.115468e+00 0 1 0 164.887633 1.757281e-01 4.261586e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 122.92
125.000000 375.000000 -0.650000 11.120000 -1.000000 1.000000 0.000000 199.631812 1.203290e+00 0 1 0 164.887633 1.867620e-01 4.560002e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 123.855
125.000000 375.000000 -0.650000 11.490000 -1.000000 1.000000 0.000000 200.657957 1.292929e+00 0 1 0 164.887633 1.981332e-01 4.868518e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 124.882
125.000000 375.000000 -0.650000 11.860000 -1.000000 1.000000 0.000000 201.774234 1.385656e+00 0 1 0 164.887633 2.098417e-01 5.187132e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 125.998
125.000000 375.000000 -0.650000 12.230000 -1.000000 1.000000 0.000000 202.978500 1.481910e+00 0 1 0 164.887633 2.218875e-01 5.515845e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 127.202
125.000000 375.000000 -0.650000 12.600000 -1.000000 1.000000 0.000000 204.267410 1.582689e+00 0 1 0 164.887633 2.342706e-01 5.854656e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 128.491
125.000000 375.000000 -0.650000 12.970000 -1.000000 1.000000 0.000000 205.635947 1.684211e+00 0 1 0 164.887633 2.469909e-01 6.203566e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 129.859
125.000000 375.000000 -0.650000 13.340000 -1.000000 1.000000 0.000000 207.079131 1.790210e+00 0 1 0 164.887633 2.600486e-01 6.562574e-01 1.546393e-02 1.905301e-02 1.542734e-03 1.919817e-03 1.116970e-03 -6.770537e-05 131.303
