mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X  chisqdiff
125.000000 375.000000 0.130000 14.080000 -1.000000 1.000000 0.000000 82.406945 9.615023e-01 1 1 1 279.084094 3.495212e-03 1.158045e+00 -5.613038e-03 1.923262e-04 -2.431671e-05 -2.479736e-04 -2.427216e-04 -4.281574e-05 6.63049
125.000000 375.000000 0.156000 11.490000 -1.000000 1.000000 0.000000 83.919114 9.411669e-01 1 1 1 277.413827 3.323990e-03 7.885996e-01 -5.154852e-03 2.872681e-04 -2.215841e-05 -2.019915e-04 -2.154698e-04 -4.310626e-05 8.14266
125.000000 375.000000 0.156000 11.860000 -1.000000 1.000000 0.000000 81.198012 6.543131e-01 1 1 1 277.413827 3.605313e-03 8.375218e-01 -5.154852e-03 2.872681e-04 -2.215841e-05 -2.019915e-04 -2.154698e-04 -4.310626e-05 5.42156
125.000000 375.000000 0.156000 12.230000 -1.000000 1.000000 0.000000 79.430347 8.376932e-01 1 1 1 277.413827 3.906091e-03 8.879951e-01 -5.154852e-03 2.872681e-04 -2.215841e-05 -2.019915e-04 -2.154698e-04 -4.310626e-05 3.65389
125.000000 375.000000 0.182000 9.640000 -1.000000 1.000000 0.000000 85.617114 6.734351e-01 1 1 1 275.426817 3.161700e-03 5.759048e-01 -4.615316e-03 4.077879e-04 -1.895723e-05 -1.477886e-04 -1.833266e-04 -4.345472e-05 9.84066
125.000000 375.000000 0.182000 10.010000 -1.000000 1.000000 0.000000 81.967979 9.170836e-01 1 1 1 275.426817 3.478444e-03 6.168246e-01 -4.615316e-03 4.077879e-04 -1.895723e-05 -1.477886e-04 -1.833266e-04 -4.345472e-05 6.19152
125.000000 375.000000 0.182000 10.380000 -1.000000 1.000000 0.000000 79.630365 8.460847e-01 1 1 1 275.426817 3.821685e-03 6.592867e-01 -4.615316e-03 4.077879e-04 -1.895723e-05 -1.477886e-04 -1.833266e-04 -4.345472e-05 3.85391
125.000000 375.000000 0.208000 8.530000 -1.000000 1.000000 0.000000 83.789795 9.585245e-01 1 1 1 273.116150 3.266648e-03 4.712317e-01 -3.995483e-03 5.582506e-04 -1.435890e-05 -8.544181e-05 -1.463261e-04 -4.386386e-05 8.01334
125.000000 375.000000 0.208000 8.900000 -1.000000 1.000000 0.000000 80.406625 8.730423e-01 1 1 1 273.116150 3.641782e-03 5.072701e-01 -3.995483e-03 5.582506e-04 -1.435890e-05 -8.544181e-05 -1.463261e-04 -4.386386e-05 4.63017
125.000000 375.000000 0.234000 6.310000 -1.000000 1.000000 0.000000 110.336689 9.181151e-01 1 1 1 270.473532 2.149816e-03 2.962687e-01 -3.296631e-03 7.438634e-04 -7.930205e-06 -1.504523e-05 -1.045099e-04 -4.433697e-05 34.5602
125.000000 375.000000 0.234000 7.420000 -1.000000 1.000000 0.000000 85.311920 9.891212e-01 1 1 1 270.473532 3.110232e-03 3.807016e-01 -3.296631e-03 7.438634e-04 -7.930205e-06 -1.504523e-05 -1.045099e-04 -4.433697e-05 9.53546
125.000000 375.000000 0.234000 7.790000 -1.000000 1.000000 0.000000 80.967112 8.892953e-01 1 1 1 270.473532 3.518148e-03 4.118891e-01 -3.296631e-03 7.438634e-04 -7.930205e-06 -1.504523e-05 -1.045099e-04 -4.433697e-05 5.19066
125.000000 375.000000 0.234000 8.160000 -1.000000 1.000000 0.000000 78.732677 9.311404e-01 1 1 1 270.473532 3.969913e-03 4.445973e-01 -3.296631e-03 7.438634e-04 -7.930205e-06 -1.504523e-05 -1.045099e-04 -4.433697e-05 2.95622
125.000000 375.000000 0.260000 6.680000 -1.000000 1.000000 0.000000 84.465444 9.716888e-01 1 1 1 267.489124 3.130690e-03 3.299017e-01 -2.520289e-03 9.707607e-04 8.538412e-07 6.328622e-05 -5.792758e-05 -4.487796e-05 8.68899
