mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 400.000000 -0.650000 1.500000 -2.836602 0.824269 0.000000 190.732038 3.522985e+00 1 1 1 221.428600 9.376524e-03 2.753081e-02 4.000000e+02 -1.110223e-16 3.885781e-16 6.195448e+03 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 114.958
125.000000 400.000000 -0.650000 1.870000 -2.836602 0.824269 0.000000 190.040404 3.224696e+00 0 1 1 221.428600 1.200398e-02 3.258607e-02 4.000000e+02 0.000000e+00 3.191891e-16 1.895893e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 114.266
125.000000 400.000000 -0.650000 2.240000 -2.836602 0.824269 0.000000 190.054839 2.890871e+00 0 1 1 221.428600 1.496318e-02 3.929041e-02 4.000000e+02 0.000000e+00 -3.885781e-16 2.205161e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 114.281
125.000000 400.000000 -0.650000 2.610000 -2.836602 0.824269 0.000000 190.396954 2.602723e+00 0 1 1 221.428600 1.825511e-02 4.745353e-02 4.000000e+02 -1.110223e-16 4.440892e-16 2.237668e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 114.623
125.000000 400.000000 -0.650000 2.980000 -2.836602 0.824269 0.000000 190.853505 5.939779e+00 0 1 1 221.428600 2.188087e-02 5.699525e-02 4.000000e+02 -5.551115e-17 -4.440892e-16 2.172583e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 115.079
125.000000 400.000000 -0.650000 3.350000 -2.836602 0.824269 0.000000 191.317593 5.420803e+00 0 1 1 221.428600 2.584130e-02 6.787702e-02 4.000000e+02 -5.551115e-17 0.000000e+00 2.072930e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 115.544
125.000000 400.000000 -0.650000 3.720000 -2.836602 0.824269 0.000000 191.743599 4.966685e+00 0 1 1 221.428600 3.013705e-02 8.007847e-02 4.000000e+02 2.775558e-17 0.000000e+00 1.963931e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 115.97
125.000000 400.000000 -0.650000 4.090000 -2.836602 0.824269 0.000000 192.116487 4.565529e+00 0 1 1 221.428600 3.476856e-02 9.358798e-02 4.000000e+02 -1.665335e-16 1.110223e-16 1.856189e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 116.342
125.000000 400.000000 -0.650000 4.460000 -2.836602 0.824269 0.000000 192.436019 4.208479e+00 0 1 1 221.428600 3.973616e-02 1.083985e-01 4.000000e+02 -2.775558e-17 8.881784e-16 1.754087e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 116.662
125.000000 400.000000 -0.650000 4.830000 -2.836602 0.824269 0.000000 192.708920 3.889208e+00 0 1 1 221.428600 4.504012e-02 1.245057e-01 4.000000e+02 -8.326673e-17 -3.330669e-16 1.659214e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 116.935
125.000000 400.000000 -0.650000 5.200000 -2.836602 0.824269 0.000000 192.945033 3.602517e+00 0 1 0 221.428600 5.068062e-02 1.419066e-01 4.000000e+02 1.804112e-16 -9.992007e-16 1.571877e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 117.171
125.000000 400.000000 -0.650000 5.570000 -2.836602 0.824269 0.000000 193.155446 3.344391e+00 0 1 0 221.428600 5.665780e-02 1.605993e-01 4.000000e+02 8.326673e-17 -5.551115e-16 1.491803e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 117.381
125.000000 400.000000 -0.650000 5.940000 -2.836602 0.824269 0.000000 193.351594 3.111459e+00 0 1 0 221.428600 6.297178e-02 1.805823e-01 4.000000e+02 -1.387779e-17 -4.440892e-16 1.418476e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 117.578
125.000000 400.000000 -0.650000 6.310000 -2.836602 0.824269 0.000000 193.514470 2.474160e+00 0 1 0 221.428600 6.962264e-02 2.018547e-01 4.000000e+02 -1.110223e-16 2.220446e-16 1.351299e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 117.74
125.000000 400.000000 -0.650000 6.680000 -2.836602 0.824269 0.000000 193.709019 2.307837e+00 0 1 0 221.428600 7.661046e-02 2.244157e-01 4.000000e+02 1.110223e-16 4.440892e-16 1.289675e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 117.935
125.000000 400.000000 -0.650000 7.050000 -2.836602 0.824269 0.000000 193.921521 2.156880e+00 0 1 0 221.428600 8.393529e-02 2.482648e-01 4.000000e+02 5.551115e-17 -4.440892e-16 1.233039e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 118.147
125.000000 400.000000 -0.650000 7.420000 -2.836602 0.824269 0.000000 194.162203 2.019655e+00 0 1 0 221.428600 9.159718e-02 2.734017e-01 4.000000e+02 8.326673e-17 4.440892e-16 1.180877e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 118.388
125.000000 400.000000 -0.650000 7.790000 -2.836602 0.824269 0.000000 194.440815 1.894719e+00 0 1 0 221.428600 9.959618e-02 2.998259e-01 4.000000e+02 -2.081668e-17 0.000000e+00 1.132727e+04 9.725653e-03 3.038494e-01 4.154353e-03 2.272745e-03 1.387802e-03 -3.704422e-05 118.667
