mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 400.000000 -0.104000 1.500000 -1.574264 1.522748 0.000000 83.433241 7.543278e-01 0 1 1 257.142902 5.203500e-03 2.499427e-02 4.000000e+02 2.775558e-17 1.387779e-17 6.485453e+04 -8.999173e-03 5.945335e-03 5.013521e-05 -2.722076e-04 -2.436308e-04 -3.704421e-05 7.65916
125.000000 400.000000 -0.104000 1.870000 -1.574264 1.522748 0.000000 84.623498 6.050222e-01 0 1 1 257.142902 5.477226e-03 3.024607e-02 4.000000e+02 1.387779e-17 3.469447e-17 6.123451e+04 -8.999173e-03 5.945335e-03 5.013521e-05 -2.722076e-04 -2.436308e-04 -3.704421e-05 8.84941
125.000000 400.000000 -0.104000 2.240000 -1.574264 1.522748 0.000000 86.249687 4.713464e-01 0 1 1 257.142902 5.755740e-03 3.757779e-02 4.000000e+02 2.775558e-17 -9.714451e-17 5.587801e+04 -8.999173e-03 5.945335e-03 5.013521e-05 -2.722076e-04 -2.436308e-04 -3.704421e-05 10.4756
125.000000 400.000000 -0.078000 1.500000 -1.562995 1.534018 0.000000 80.403784 9.012101e-01 0 1 1 257.142903 4.983970e-03 2.090686e-02 4.000000e+02 4.163336e-17 3.469447e-18 6.722275e+04 -9.258150e-03 3.344251e-03 1.980236e-05 -3.026504e-04 -2.625829e-04 -3.704421e-05 4.6297
125.000000 400.000000 -0.078000 1.870000 -1.562995 1.534018 0.000000 81.153712 6.989761e-01 0 1 1 257.142903 5.182466e-03 2.615866e-02 4.000000e+02 -1.387779e-17 4.163336e-17 6.267298e+04 -9.258150e-03 3.344251e-03 1.980236e-05 -3.026504e-04 -2.625829e-04 -3.704421e-05 5.37963
125.000000 400.000000 -0.078000 2.240000 -1.562995 1.534018 0.000000 82.181852 5.285161e-01 0 1 1 257.142903 5.382855e-03 3.349038e-02 4.000000e+02 1.387779e-17 -6.938894e-17 5.690160e+04 -9.258150e-03 3.344251e-03 1.980236e-05 -3.026504e-04 -2.625829e-04 -3.704421e-05 6.40777
125.000000 400.000000 -0.078000 2.610000 -1.562995 1.534018 0.000000 83.452173 4.547972e-01 0 1 1 257.142903 5.586384e-03 4.257481e-02 4.000000e+02 1.387779e-17 6.938894e-17 5.147769e+04 -9.258150e-03 3.344251e-03 1.980236e-05 -3.026504e-04 -2.625829e-04 -3.704421e-05 7.67809
125.000000 400.000000 -0.078000 2.980000 -1.562995 1.534018 0.000000 84.818294 4.413501e-01 0 1 1 257.142903 5.793685e-03 5.327413e-02 4.000000e+02 2.775558e-17 -6.938894e-17 4.671176e+04 -9.258150e-03 3.344251e-03 1.980236e-05 -3.026504e-04 -2.625829e-04 -3.704421e-05 9.04421
125.000000 400.000000 -0.078000 3.350000 -1.562995 1.534018 0.000000 86.317772 4.278646e-01 0 1 1 257.142903 6.005113e-03 6.552207e-02 4.000000e+02 0.000000e+00 1.387779e-17 4.260440e+04 -9.258150e-03 3.344251e-03 1.980236e-05 -3.026504e-04 -2.625829e-04 -3.704421e-05 10.5437
125.000000 400.000000 -0.052000 1.870000 -1.554946 1.542067 0.000000 78.515001 7.869356e-01 0 1 1 257.142903 4.894187e-03 2.323909e-02 4.000000e+02 2.775558e-17 1.734723e-18 6.403744e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 2.74092
125.000000 400.000000 -0.052000 2.240000 -1.554946 1.542067 0.000000 79.024197 5.793494e-01 0 1 1 257.142903 5.022037e-03 3.057080e-02 4.000000e+02 -1.387779e-17 -1.387779e-17 5.785730e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 3.25011
125.000000 400.000000 -0.052000 2.610000 -1.554946 1.542067 0.000000 79.639371 5.069228e-01 0 1 1 257.142903 5.150876e-03 3.965523e-02 4.000000e+02 1.387779e-17 2.081668e-17 5.220028e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 3.86529
125.000000 400.000000 -0.052000 2.980000 -1.554946 1.542067 0.000000 80.342830 4.965507e-01 0 1 1 257.142903 5.281137e-03 5.035455e-02 4.000000e+02 -6.938894e-18 -2.775558e-17 4.728431e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 4.56875
125.000000 400.000000 -0.052000 3.350000 -1.554946 1.542067 0.000000 81.123842 4.860226e-01 0 1 1 257.142903 5.413062e-03 6.260249e-02 4.000000e+02 1.734723e-17 -2.775558e-17 4.307314e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 5.34976
125.000000 400.000000 -0.052000 3.720000 -1.554946 1.542067 0.000000 81.974690 4.754906e-01 0 1 1 257.142903 5.546798e-03 7.636401e-02 4.000000e+02 -6.938894e-18 1.387779e-17 3.946965e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 6.20061
125.000000 400.000000 -0.052000 4.090000 -1.554946 1.542067 0.000000 82.888666 4.650474e-01 0 1 1 257.142903 5.682440e-03 9.161915e-02 4.000000e+02 -3.469447e-18 1.387779e-17 3.637329e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 7.11458
125.000000 400.000000 -0.052000 4.460000 -1.554946 1.542067 0.000000 83.901229 4.547516e-01 0 1 1 257.142903 5.820049e-03 1.083559e-01 4.000000e+02 -1.387779e-17 9.714451e-17 3.369606e+04 -9.443134e-03 1.486334e-03 -1.863952e-06 -3.243953e-04 -2.761200e-04 -3.704421e-05 8.12714
