mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 500.000000 -0.104000 1.500000 -3.356796 3.273167 0.000000 83.408787 8.291498e-01 0 1 1 221.428684 5.203518e-03 1.307042e-02 5.000000e+02 0.000000e+00 9.714451e-17 1.007878e+05 -1.404424e-02 1.735192e-02 1.791588e-04 -1.924312e-04 -1.643099e-04 -2.367645e-05 7.64124
125.000000 500.000000 -0.104000 1.870000 -3.356796 3.273167 0.000000 84.593431 5.736695e-01 0 1 1 221.428684 5.477247e-03 1.812567e-02 5.000000e+02 0.000000e+00 1.179612e-16 9.535626e+04 -1.404424e-02 1.735192e-02 1.791588e-04 -1.924312e-04 -1.643099e-04 -2.367645e-05 8.82588
125.000000 500.000000 -0.104000 2.240000 -3.356796 3.273167 0.000000 86.215140 4.230697e-01 0 1 1 221.428684 5.755762e-03 2.483002e-02 5.000000e+02 2.775558e-17 -1.526557e-16 8.708532e+04 -1.404424e-02 1.735192e-02 1.791588e-04 -1.924312e-04 -1.643099e-04 -2.367645e-05 10.4476
125.000000 500.000000 -0.078000 1.500000 -3.338503 3.291461 0.000000 80.381595 8.402051e-01 0 1 1 221.428685 4.983989e-03 1.290420e-02 5.000000e+02 2.775558e-17 2.775558e-17 1.046323e+05 -1.430682e-02 9.760453e-03 9.830664e-05 -2.226537e-04 -1.840361e-04 -2.367645e-05 4.61404
125.000000 500.000000 -0.078000 1.870000 -3.338503 3.291461 0.000000 81.127438 5.793494e-01 0 1 1 221.428685 5.182487e-03 1.795945e-02 5.000000e+02 0.000000e+00 9.367507e-17 9.769145e+04 -1.430682e-02 9.760453e-03 9.830664e-05 -2.226537e-04 -1.840361e-04 -2.367645e-05 5.35989
125.000000 500.000000 -0.078000 2.240000 -3.338503 3.291461 0.000000 82.152092 4.678408e-01 0 1 1 221.428685 5.382878e-03 2.466380e-02 5.000000e+02 0.000000e+00 -8.326673e-17 8.874700e+04 -1.430682e-02 9.760453e-03 9.830664e-05 -2.226537e-04 -1.840361e-04 -2.367645e-05 6.38454
125.000000 500.000000 -0.078000 2.610000 -3.338503 3.291461 0.000000 83.419009 4.547952e-01 0 1 1 221.428685 5.586407e-03 3.282692e-02 5.000000e+02 0.000000e+00 1.387779e-16 8.031348e+04 -1.430682e-02 9.760453e-03 9.830664e-05 -2.226537e-04 -1.840361e-04 -2.367645e-05 7.65146
125.000000 500.000000 -0.078000 2.980000 -3.338503 3.291461 0.000000 84.782050 4.413481e-01 0 1 1 221.428685 5.793709e-03 4.236864e-02 5.000000e+02 5.551115e-17 -1.665335e-16 7.289304e+04 -1.430682e-02 9.760453e-03 9.830664e-05 -2.226537e-04 -1.840361e-04 -2.367645e-05 9.0145
125.000000 500.000000 -0.078000 3.350000 -3.338503 3.291461 0.000000 86.278611 4.278627e-01 0 1 1 221.428685 6.005138e-03 5.325042e-02 5.000000e+02 1.387779e-17 2.775558e-17 6.649333e+04 -1.430682e-02 9.760453e-03 9.830664e-05 -2.226537e-04 -1.840361e-04 -2.367645e-05 10.5111
125.000000 500.000000 -0.052000 1.500000 -3.325435 3.304528 0.000000 78.130107 8.480331e-01 0 1 1 221.428685 4.766490e-03 1.278548e-02 5.000000e+02 0.000000e+00 5.551115e-17 1.083512e+05 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 2.36256
125.000000 500.000000 -0.052000 1.870000 -3.325435 3.304528 0.000000 78.493184 5.830605e-01 0 1 1 221.428685 4.894208e-03 1.784073e-02 5.000000e+02 -1.387779e-17 3.816392e-17 9.990647e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 2.72563
125.000000 500.000000 -0.052000 2.240000 -3.325435 3.304528 0.000000 79.000031 5.168766e-01 0 1 1 221.428685 5.022059e-03 2.454508e-02 5.000000e+02 0.000000e+00 -6.245005e-17 9.029845e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 3.23248
125.000000 500.000000 -0.052000 2.610000 -3.325435 3.304528 0.000000 79.612960 5.069204e-01 0 1 1 221.428685 5.150898e-03 3.270820e-02 5.000000e+02 -1.387779e-17 9.714451e-17 8.148652e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 3.84541
125.000000 500.000000 -0.052000 2.980000 -3.325435 3.304528 0.000000 80.314235 4.965484e-01 0 1 1 221.428685 5.281160e-03 4.224992e-02 5.000000e+02 1.387779e-17 -8.326673e-17 7.382251e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 4.54668
125.000000 500.000000 -0.052000 3.350000 -3.325435 3.304528 0.000000 81.093060 4.860204e-01 0 1 1 221.428685 5.413086e-03 5.313170e-02 5.000000e+02 0.000000e+00 0.000000e+00 6.725427e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 5.32551
125.000000 500.000000 -0.052000 3.720000 -3.325435 3.304528 0.000000 81.941760 4.754884e-01 0 1 1 221.428685 5.546823e-03 6.533315e-02 5.000000e+02 6.938894e-18 0.000000e+00 6.163221e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 6.17421
125.000000 500.000000 -0.052000 4.090000 -3.325435 3.304528 0.000000 82.853642 4.650453e-01 0 1 1 221.428685 5.682464e-03 7.884266e-02 5.000000e+02 6.938894e-18 0.000000e+00 5.680040e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 7.08609
125.000000 500.000000 -0.052000 4.460000 -3.325435 3.304528 0.000000 83.864041 4.547495e-01 0 1 1 221.428685 5.820074e-03 9.365323e-02 5.000000e+02 -6.938894e-18 1.387779e-16 5.262202e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 8.09649
125.000000 500.000000 -0.052000 4.830000 -3.325435 3.304528 0.000000 84.872844 4.446381e-01 0 1 1 221.428685 5.959694e-03 1.097604e-01 5.000000e+02 2.081668e-17 -5.551115e-17 4.898384e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 9.10529
125.000000 500.000000 -0.052000 5.200000 -3.325435 3.304528 0.000000 85.931129 4.347344e-01 0 1 1 221.428685 6.101358e-03 1.271613e-01 5.000000e+02 0.000000e+00 -1.110223e-16 4.579408e+04 -1.449438e-02 4.337979e-03 4.055507e-05 -2.442413e-04 -1.981262e-04 -2.367645e-05 10.1636
