mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 500.000000 -0.650000 1.500000 -3.568179 0.301404 -2.000000 191.172673 1.874581e+00 1 1 0 364.285721 9.375926e-03 8.150479e+00 5.000000e+02 -4.440892e-16 2.220446e-16 -6.159133e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 115.354
125.000000 500.000000 -0.650000 1.870000 -3.568179 0.301404 -2.000000 190.344404 2.269799e+00 1 1 1 364.285721 1.200355e-02 6.489029e+00 5.000000e+02 -2.220446e-16 2.220446e-16 -1.103428e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 114.526
125.000000 500.000000 -0.650000 2.240000 -3.568179 0.301404 -2.000000 190.288916 2.394638e+00 1 1 1 364.285721 1.496283e-02 5.586369e+00 5.000000e+02 9.992007e-16 -8.881784e-16 7.008047e+03 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 114.471
125.000000 500.000000 -0.650000 2.610000 -3.568179 0.301404 -2.000000 190.585450 2.420712e+00 0 1 1 364.285721 1.825481e-02 5.045785e+00 5.000000e+02 -9.992007e-16 9.992007e-16 1.488050e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 114.767
125.000000 500.000000 -0.650000 2.980000 -3.568179 0.301404 -2.000000 191.009537 2.397131e+00 0 1 1 364.285721 2.188059e-02 4.700142e+00 5.000000e+02 6.661338e-16 -5.551115e-16 1.850255e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 115.191
125.000000 500.000000 -0.650000 3.350000 -3.568179 0.301404 -2.000000 191.449389 2.342215e+00 0 1 1 364.285721 2.584105e-02 4.469109e+00 5.000000e+02 -2.220446e-16 3.330669e-16 2.009122e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 115.631
125.000000 500.000000 -0.650000 3.720000 -3.568179 0.301404 -2.000000 191.856780 2.265071e+00 0 1 1 364.285721 3.013680e-02 4.310185e+00 5.000000e+02 -2.220446e-16 1.110223e-16 2.063232e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 116.038
125.000000 500.000000 -0.650000 4.090000 -3.568179 0.301404 -2.000000 192.215058 2.171758e+00 0 1 1 364.285721 3.476833e-02 4.199174e+00 5.000000e+02 -2.220446e-16 1.110223e-16 2.061157e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 116.397
125.000000 500.000000 -0.650000 4.460000 -3.568179 0.301404 -2.000000 192.522921 2.146721e+00 0 1 1 364.285721 3.973595e-02 4.121475e+00 5.000000e+02 -1.554312e-15 1.443290e-15 2.028513e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 116.705
125.000000 500.000000 -0.650000 4.830000 -3.568179 0.301404 -2.000000 192.786359 2.035012e+00 0 1 1 364.285721 4.503991e-02 4.067858e+00 5.000000e+02 4.440892e-16 -6.661338e-16 1.979463e+04 2.173954e-02 2.932280e-01 1.674694e-03 2.707956e-03 1.587691e-03 -2.367646e-05 116.968
