mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 500.000000 -0.104000 1.870000 -1.976606 1.892977 -2.000000 85.311059 4.371046e-01 1 1 1 364.285754 5.476784e-03 3.126960e+00 5.000000e+02 -3.885781e-16 1.110223e-16 5.759491e+04 -6.493012e-03 7.506636e-03 2.845321e-05 -1.275244e-04 -1.284840e-04 -2.367645e-05 9.49265
125.000000 500.000000 -0.104000 2.240000 -1.976606 1.892977 -2.000000 86.787564 4.230974e-01 0 1 1 364.285754 5.755409e-03 2.224300e+00 5.000000e+02 8.881784e-16 -2.220446e-16 6.192103e+04 -6.493012e-03 7.506636e-03 2.845321e-05 -1.275244e-04 -1.284840e-04 -2.367645e-05 10.9692
125.000000 500.000000 -0.078000 1.500000 -1.958312 1.911271 -2.000000 81.326483 4.894005e-01 1 1 1 364.285754 4.983275e-03 4.749766e+00 5.000000e+02 -6.661338e-16 2.220446e-16 3.747897e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 5.50808
125.000000 500.000000 -0.078000 1.870000 -1.958312 1.911271 -2.000000 81.742437 4.798528e-01 1 1 1 364.285754 5.182030e-03 3.088315e+00 5.000000e+02 -6.383782e-16 0.000000e+00 5.993010e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 5.92403
125.000000 500.000000 -0.078000 2.240000 -1.958312 1.911271 -2.000000 82.641053 4.678727e-01 0 1 1 364.285754 5.382531e-03 2.185655e+00 5.000000e+02 6.661338e-16 -2.220446e-16 6.358271e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 6.82265
125.000000 500.000000 -0.078000 2.610000 -1.958312 1.911271 -2.000000 83.841631 4.548198e-01 0 1 1 364.285754 5.586124e-03 1.645071e+00 5.000000e+02 -1.110223e-15 2.220446e-16 6.212239e+04 -6.817524e-03 4.222483e-03 9.530912e-06 -1.601161e-04 -1.482102e-04 -2.367645e-05 8.02323
125.000000 500.000000 -0.052000 1.500000 -1.945245 1.924338 -2.000000 78.926587 5.332559e-01 1 1 1 364.285755 4.765782e-03 4.722163e+00 5.000000e+02 -3.885781e-16 -2.220446e-16 4.119788e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 3.10818
125.000000 500.000000 -0.052000 1.870000 -1.945245 1.924338 -2.000000 78.999651 5.259942e-01 1 1 1 364.285755 4.893759e-03 3.060712e+00 5.000000e+02 -2.220446e-16 -2.220446e-16 6.214513e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 3.18125
125.000000 500.000000 -0.052000 2.240000 -1.945245 1.924338 -2.000000 79.396478 5.169135e-01 0 1 1 364.285755 5.021720e-03 2.158052e+00 5.000000e+02 9.992007e-16 -3.330669e-16 6.513416e+04 -7.049319e-03 1.876659e-03 -3.985016e-06 -1.833960e-04 -1.623003e-04 -2.367645e-05 3.57807
125.000000 500.000000 -0.026000 1.500000 -1.937405 1.932178 -2.000000 77.221126 7.684878e-01 1 1 1 364.285755 4.550751e-03 4.705601e+00 5.000000e+02 -4.996004e-16 -2.220446e-16 4.478426e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.40272
125.000000 500.000000 -0.026000 1.870000 -1.937405 1.932178 -2.000000 77.078457 7.735523e-01 0 1 1 364.285755 4.612521e-03 3.044150e+00 5.000000e+02 1.110223e-16 -3.330669e-16 6.423610e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.26005
125.000000 500.000000 -0.026000 2.240000 -1.937405 1.932178 -2.000000 77.135966 7.771546e-01 0 1 1 364.285755 4.673646e-03 2.141490e+00 5.000000e+02 9.992007e-16 -4.440892e-16 6.657281e+04 -7.188395e-03 4.691648e-04 -1.209457e-05 -1.973638e-04 -1.707543e-04 -2.367645e-05 1.31756
125.000000 500.000000 0.000000 1.500000 -1.934791 1.934791 -2.000000 76.285567 7.886815e-01 1 1 1 364.285755 4.338610e-03 4.700080e+00 5.000000e+02 -4.996004e-16 0.000000e+00 4.823125e+04 -7.234754e-03 7.282082e-17 -1.479776e-05 -2.020198e-04 -1.735723e-04 -2.367645e-05 0.467163
