mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 500.000000 -0.650000 1.500000 -5.385991 2.119216 2.000000 190.090400 2.100292e+00 0 1 1 150.000108 9.377122e-03 8.320636e-03 5.000000e+02 4.440892e-16 4.440892e-16 7.271541e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 114.404
125.000000 500.000000 -0.650000 1.870000 -5.385991 2.119216 2.000000 189.366725 1.718308e+00 0 1 0 150.000108 1.200441e-02 1.232010e-02 5.000000e+02 6.661338e-16 4.440892e-16 6.448842e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 113.68
125.000000 500.000000 -0.650000 2.240000 -5.385991 2.119216 2.000000 189.466161 1.439885e+00 0 1 0 150.000108 1.496354e-02 1.736702e-02 5.000000e+02 -4.440892e-16 -3.330669e-16 5.733663e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 113.779
125.000000 500.000000 -0.650000 2.610000 -5.385991 2.119216 2.000000 189.906325 1.227557e+00 0 1 0 150.000108 1.825544e-02 2.340165e-02 5.000000e+02 2.220446e-16 6.661338e-16 5.126269e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 114.219
125.000000 500.000000 -0.650000 2.980000 -5.385991 2.119216 2.000000 190.446761 1.060050e+00 0 1 0 150.000108 2.188117e-02 3.039881e-02 5.000000e+02 -8.881784e-16 -5.551115e-16 4.616040e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 114.76
125.000000 500.000000 -0.650000 3.350000 -5.385991 2.119216 2.000000 190.977592 9.246374e-01 0 1 0 150.000108 2.584159e-02 3.834640e-02 5.000000e+02 0.000000e+00 3.330669e-16 4.187239e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 115.291
125.000000 500.000000 -0.650000 3.720000 -5.385991 2.119216 2.000000 191.455781 8.131960e-01 0 1 0 150.000108 3.013732e-02 4.723803e-02 5.000000e+02 6.661338e-16 -1.110223e-16 3.824788e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 115.769
125.000000 500.000000 -0.650000 4.090000 -5.385991 2.119216 2.000000 191.869527 7.202305e-01 0 1 0 150.000108 3.476882e-02 5.707004e-02 5.000000e+02 2.220446e-16 -3.330669e-16 3.516002e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 116.183
125.000000 500.000000 -0.650000 4.460000 -5.385991 2.119216 2.000000 192.221315 6.665410e-01 0 1 0 150.000108 3.973643e-02 6.784024e-02 5.000000e+02 1.110223e-15 1.221245e-15 3.250700e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 116.534
125.000000 500.000000 -0.650000 4.830000 -5.385991 2.119216 2.000000 192.519952 5.985238e-01 0 0 0 150.000108 4.504038e-02 7.954723e-02 5.000000e+02 -4.440892e-16 -2.220446e-16 3.020852e+04 1.271398e-03 8.598457e-01 1.147629e-02 2.121194e-03 1.530571e-03 -2.367646e-05 116.833
