mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 500.000000 -0.104000 1.500000 -2.750859 2.667230 2.000000 82.496965 6.320988e-01 0 1 1 292.857212 5.204258e-03 4.735211e-02 5.000000e+02 4.996004e-16 2.220446e-16 1.679412e+05 -1.032692e-02 1.243653e-02 9.336960e-05 -1.568722e-04 -1.450199e-04 -2.367645e-05 6.9073
125.000000 500.000000 -0.104000 1.870000 -2.750859 2.667230 2.000000 83.944564 5.720670e-01 0 1 1 292.857212 5.477718e-03 5.209064e-02 5.000000e+02 1.942890e-16 2.220446e-16 1.331176e+05 -1.032692e-02 1.243653e-02 9.336960e-05 -1.568722e-04 -1.450199e-04 -2.367645e-05 8.3549
125.000000 500.000000 -0.104000 2.240000 -2.750859 2.667230 2.000000 85.678757 5.044335e-01 0 1 1 292.857212 5.756120e-03 5.965194e-02 5.000000e+02 -7.771561e-16 -1.110223e-16 1.122496e+05 -1.032692e-02 1.243653e-02 9.336960e-05 -1.568722e-04 -1.450199e-04 -2.367645e-05 10.0891
125.000000 500.000000 -0.078000 1.500000 -2.732565 2.685524 2.000000 79.632165 8.393443e-01 0 1 1 292.857213 4.984723e-03 3.561176e-02 5.000000e+02 2.220446e-16 2.220446e-16 1.717857e+05 -1.062488e-02 6.995547e-03 4.789407e-05 -1.886334e-04 -1.647461e-04 -2.367645e-05 4.0425
125.000000 500.000000 -0.078000 1.870000 -2.732565 2.685524 2.000000 80.588138 7.366906e-01 0 1 1 292.857213 5.182951e-03 4.035029e-02 5.000000e+02 2.498002e-16 2.220446e-16 1.354528e+05 -1.062488e-02 6.995547e-03 4.789407e-05 -1.886334e-04 -1.647461e-04 -2.367645e-05 4.99847
125.000000 500.000000 -0.078000 2.240000 -2.732565 2.685524 2.000000 81.705129 6.282209e-01 0 1 1 292.857213 5.383228e-03 4.791159e-02 5.000000e+02 -8.881784e-16 0.000000e+00 1.139113e+05 -1.062488e-02 6.995547e-03 4.789407e-05 -1.886334e-04 -1.647461e-04 -2.367645e-05 6.11546
125.000000 500.000000 -0.052000 1.870000 -2.719498 2.698591 2.000000 78.070550 9.309091e-01 0 1 1 292.857213 4.894664e-03 3.196432e-02 5.000000e+02 3.608225e-16 1.110223e-16 1.376678e+05 -1.083771e-02 3.109132e-03 1.541155e-05 -2.113200e-04 -1.788362e-04 -2.367645e-05 2.48089
125.000000 500.000000 -0.052000 2.240000 -2.719498 2.698591 2.000000 78.649523 7.641791e-01 0 1 1 292.857213 5.022402e-03 3.952562e-02 5.000000e+02 -5.551115e-16 0.000000e+00 1.154627e+05 -1.083771e-02 3.109132e-03 1.541155e-05 -2.113200e-04 -1.788362e-04 -2.367645e-05 3.05986
125.000000 500.000000 -0.026000 2.240000 -2.711658 2.706431 2.000000 76.592449 8.752137e-01 0 1 1 292.857213 4.674312e-03 3.449404e-02 5.000000e+02 -4.440892e-16 0.000000e+00 1.169014e+05 -1.096540e-02 7.772830e-04 -4.077967e-06 -2.249319e-04 -1.872903e-04 -2.367645e-05 1.00278
125.000000 500.000000 0.000000 2.240000 -2.709044 2.709044 2.000000 75.660601 9.142857e-01 0 1 1 292.857213 4.339627e-03 3.281685e-02 5.000000e+02 -6.661338e-16 1.110223e-16 1.182246e+05 -1.100797e-02 0.000000e+00 -1.057447e-05 -2.294692e-04 -1.901083e-04 -2.367645e-05 0.070936
