mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A S T U V W X 
125.000000 320.000000 -0.650000 1.500000 -1.000000 1.000000 0.000000 190.853339 4.553786e+00 1 1 1 71.505202 9.435234e-03 4.291088e-03 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 1.870000 -1.000000 1.000000 0.000000 190.047286 3.600067e+00 0 1 1 71.505202 1.206280e-02 6.566815e-03 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 2.240000 -1.000000 1.000000 0.000000 189.996577 3.446112e+00 0 1 1 71.505202 1.502208e-02 9.369935e-03 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 2.610000 -1.000000 1.000000 0.000000 190.294925 3.485715e+00 0 1 1 71.505202 1.831406e-02 1.269068e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 2.980000 -1.000000 1.000000 0.000000 190.727939 3.514293e+00 0 1 1 71.505202 2.193986e-02 1.652492e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 3.350000 -1.000000 1.000000 0.000000 191.174632 3.535953e+00 0 1 1 71.505202 2.590034e-02 2.087069e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 3.720000 -1.000000 1.000000 0.000000 191.588917 3.552901e+00 0 1 1 71.505202 3.019612e-02 2.572693e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 4.090000 -1.000000 1.000000 0.000000 191.953675 3.566465e+00 0 1 1 71.505202 3.482767e-02 3.109306e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 4.460000 -1.000000 1.000000 0.000000 192.267345 3.577510e+00 0 1 1 71.505202 3.979532e-02 3.696871e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 4.830000 -1.000000 1.000000 0.000000 192.535808 3.586631e+00 0 1 1 71.505202 4.509931e-02 4.335365e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 5.200000 -1.000000 1.000000 0.000000 192.768361 3.594250e+00 0 1 1 71.505202 5.073985e-02 5.024774e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 5.570000 -1.000000 1.000000 0.000000 192.975736 3.600681e+00 0 1 1 71.505202 5.671706e-02 5.765087e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 5.940000 -1.000000 1.000000 0.000000 193.169142 3.606156e+00 0 1 1 71.505202 6.303108e-02 6.556298e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 6.310000 -1.000000 1.000000 0.000000 193.329466 3.610853e+00 0 1 1 71.505202 6.968198e-02 7.398401e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 6.680000 -1.000000 1.000000 0.000000 193.521473 3.614912e+00 0 1 1 71.505202 7.666983e-02 8.291392e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 7.050000 -1.000000 1.000000 0.000000 193.731442 3.618442e+00 0 1 1 71.505202 8.399470e-02 9.235269e-02 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 7.420000 -1.000000 1.000000 0.000000 193.969575 3.621529e+00 0 1 0 71.505202 9.165663e-02 1.023003e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 7.790000 -1.000000 1.000000 0.000000 194.245613 3.624243e+00 0 1 0 71.505202 9.965567e-02 1.127567e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 8.160000 -1.000000 1.000000 0.000000 194.568770 3.626641e+00 0 1 0 71.505202 1.079918e-01 1.237219e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 8.530000 -1.000000 1.000000 0.000000 194.947647 3.628769e+00 0 1 0 71.505202 1.166652e-01 1.351960e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 8.900000 -1.000000 1.000000 0.000000 195.390145 3.630665e+00 0 1 0 71.505202 1.256757e-01 1.471788e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 9.270000 -1.000000 1.000000 0.000000 195.874614 3.632362e+00 0 1 0 71.505202 1.350234e-01 1.596704e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 9.640000 -1.000000 1.000000 0.000000 196.461944 3.633885e+00 0 1 0 71.505202 1.447083e-01 1.726708e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 10.010000 -1.000000 1.000000 0.000000 197.131261 3.635257e+00 0 1 0 71.505202 1.547305e-01 1.861799e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 10.380000 -1.000000 1.000000 0.000000 197.886657 3.636497e+00 0 1 0 71.505202 1.650899e-01 2.001979e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 10.750000 -1.000000 1.000000 0.000000 198.731039 3.637620e+00 0 1 0 71.505202 1.757865e-01 2.147246e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 11.120000 -1.000000 1.000000 0.000000 199.666073 3.638641e+00 0 1 0 71.505202 1.868205e-01 2.297600e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
125.000000 320.000000 -0.650000 11.490000 -1.000000 1.000000 0.000000 200.692150 3.639571e+00 0 1 0 71.505202 1.981917e-01 2.453042e-01 2.686208e-03 3.044750e-02 3.936057e-03 7.624536e-04 6.951990e-04 -9.065011e-05
