mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X 
125.000000 350.000000 -0.650000 1.500000 -1.000000 1.000000 0.000000 186.968986 3.506357e+00 1 1 1 129.308715 9.376546e-03 7.215999e-03 2.781103e+02 -1.110223e-16 2.498002e-16 6.459368e+03 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 1.870000 -1.000000 1.000000 0.000000 185.574079 2.970717e+00 0 1 1 129.308715 1.200413e-02 1.080742e-02 2.781103e+02 5.551115e-17 1.110223e-16 1.572220e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 2.240000 -1.000000 1.000000 0.000000 186.356883 2.392906e+00 0 1 1 129.308715 1.496341e-02 1.530088e-02 2.781103e+02 5.551115e-17 -2.775558e-16 1.783464e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 2.610000 -1.000000 1.000000 0.000000 187.533458 1.955535e+00 0 1 1 129.308715 1.825540e-02 2.065631e-02 2.781103e+02 -5.551115e-17 3.885781e-16 1.792047e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 2.980000 -1.000000 1.000000 0.000000 188.578543 1.628538e+00 0 1 1 129.308715 2.188121e-02 2.685687e-02 2.781103e+02 5.551115e-17 -3.330669e-16 1.730681e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 3.350000 -1.000000 1.000000 0.000000 189.442904 1.378907e+00 0 1 1 129.308715 2.584169e-02 3.389444e-02 2.781103e+02 -2.775558e-17 0.000000e+00 1.645742e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 3.720000 -1.000000 1.000000 0.000000 190.242305 1.184028e+00 0 1 1 129.308715 3.013748e-02 4.176473e-02 2.781103e+02 -5.551115e-17 1.110223e-16 1.555564e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 4.090000 -1.000000 1.000000 0.000000 191.039796 3.296084e+00 0 1 1 129.308715 3.476903e-02 5.046529e-02 2.781103e+02 -1.110223e-16 -1.110223e-16 1.467693e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 4.460000 -1.000000 1.000000 0.000000 191.924750 2.900717e+00 0 1 1 129.308715 3.973669e-02 5.999467e-02 2.781103e+02 -4.163336e-17 5.551115e-16 1.385121e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 4.830000 -1.000000 1.000000 0.000000 192.977290 2.575709e+00 0 1 1 129.308715 4.504069e-02 7.035191e-02 2.781103e+02 6.938894e-17 -2.220446e-16 1.308822e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 5.200000 -1.000000 1.000000 0.000000 194.263883 2.305195e+00 0 1 1 129.308715 5.068123e-02 8.153642e-02 2.781103e+02 8.326673e-17 -5.551115e-16 1.238861e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 5.570000 -1.000000 1.000000 0.000000 195.802087 2.077784e+00 0 1 1 129.308715 5.665845e-02 9.354777e-02 2.781103e+02 8.326673e-17 -4.440892e-16 1.174909e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 5.940000 -1.000000 1.000000 0.000000 197.681808 1.884545e+00 0 1 1 129.308715 6.297247e-02 1.063857e-01 2.781103e+02 9.714451e-17 -4.440892e-16 1.116481e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 6.310000 -1.000000 1.000000 0.000000 199.887572 1.719260e+00 0 1 0 129.308715 6.962337e-02 1.200499e-01 2.781103e+02 -6.245005e-17 1.110223e-16 1.063054e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
125.000000 350.000000 -0.650000 6.680000 -1.000000 1.000000 0.000000 202.411675 1.576845e+00 0 1 0 129.308715 7.661123e-02 1.345404e-01 2.781103e+02 -6.938894e-18 4.440892e-16 1.014118e+04 1.080784e-02 2.305619e-02 2.249146e-03 1.585950e-03 9.703522e-04 -7.693941e-05
