mh mH cba tb Z4 Z5 Z7 chisq tot_hbobs stb uni per mA Gamma_h Gamma_A mHc l6 l7 m12_2 S T U V W X  chisqdiff
125.000000 350.000000 0.130000 14.080000 -1.000000 1.000000 0.000000 82.405698 9.287982e-01 1 1 1 245.090277 3.495217e-03 1.021012e+00 3.474102e+02 -2.558717e-17 2.498002e-16 8.598472e+03 -6.908099e-03 3.063076e-04 -1.520457e-05 -3.210964e-04 -2.999845e-04 -4.916826e-05 6.62601
125.000000 350.000000 0.130000 14.450000 -1.000000 1.000000 0.000000 80.502476 9.810778e-01 1 1 1 245.090277 3.738012e-03 1.074940e+00 3.474102e+02 3.816392e-17 -3.330669e-16 8.378679e+03 -6.908099e-03 3.063076e-04 -1.520457e-05 -3.210964e-04 -2.999845e-04 -4.916826e-05 4.72279
125.000000 350.000000 0.156000 11.490000 -1.000000 1.000000 0.000000 83.918578 9.411654e-01 1 1 1 243.463594 3.323995e-03 6.815698e-01 3.462645e+02 0.000000e+00 1.665335e-16 1.048138e+04 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 8.13889
125.000000 350.000000 0.156000 11.860000 -1.000000 1.000000 0.000000 81.195780 6.360248e-01 1 1 1 243.463594 3.605318e-03 7.254618e-01 3.462645e+02 -2.081668e-17 1.110223e-16 1.015526e+04 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 5.41609
125.000000 350.000000 0.156000 12.230000 -1.000000 1.000000 0.000000 79.426116 8.376919e-01 1 1 1 243.463594 3.906097e-03 7.707452e-01 3.462645e+02 -4.857226e-17 1.110223e-16 9.848685e+03 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 3.64643
125.000000 350.000000 0.156000 12.600000 -1.000000 1.000000 0.000000 78.529533 9.462251e-01 1 1 1 243.463594 4.226330e-03 8.174200e-01 3.462645e+02 1.734723e-18 -5.551115e-17 9.559973e+03 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 2.74985
125.000000 350.000000 0.156000 12.970000 -1.000000 1.000000 0.000000 78.424052 7.713748e-01 1 1 1 243.463594 4.566014e-03 8.654861e-01 3.462645e+02 -3.729655e-17 1.110223e-16 9.287612e+03 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 2.64437
125.000000 350.000000 0.156000 13.340000 -1.000000 1.000000 0.000000 79.084054 8.192000e-01 1 1 1 243.463594 4.925148e-03 9.149435e-01 3.462645e+02 4.510281e-17 5.551115e-17 9.030258e+03 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 3.30437
125.000000 350.000000 0.156000 13.710000 -1.000000 1.000000 0.000000 80.405207 8.677966e-01 1 1 1 243.463594 5.303730e-03 9.657923e-01 3.462645e+02 -1.214306e-17 2.775558e-16 8.786711e+03 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 4.62552
125.000000 350.000000 0.156000 14.080000 -1.000000 1.000000 0.000000 82.393305 9.183857e-01 1 1 1 243.463594 5.701760e-03 1.018032e+00 3.462645e+02 -2.081668e-17 2.220446e-16 8.555894e+03 -6.493313e-03 4.515818e-04 -8.176719e-06 -2.771439e-04 -2.737516e-04 -4.949579e-05 6.61362
125.000000 350.000000 0.182000 9.640000 -1.000000 1.000000 0.000000 85.617164 6.734340e-01 1 1 1 241.527025 3.161705e-03 4.821638e-01 3.449056e+02 2.081668e-17 -1.665335e-16 1.241470e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 9.83748
125.000000 350.000000 0.182000 10.010000 -1.000000 1.000000 0.000000 81.966165 9.170821e-01 1 1 1 241.527025 3.478450e-03 5.188543e-01 3.449056e+02 4.163336e-17 5.551115e-17 1.195757e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 6.18648
125.000000 350.000000 0.182000 10.380000 -1.000000 1.000000 0.000000 79.626292 8.460834e-01 1 1 1 241.527025 3.821691e-03 5.569273e-01 3.449056e+02 6.938894e-17 -1.110223e-16 1.153263e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 3.84661
125.000000 350.000000 0.182000 10.750000 -1.000000 1.000000 0.000000 78.499312 9.439347e-01 1 1 1 241.527025 4.191422e-03 5.963827e-01 3.449056e+02 -4.336809e-17 3.330669e-16 1.113662e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 2.71963
125.000000 350.000000 0.182000 11.120000 -1.000000 1.000000 0.000000 78.469348 5.446809e-01 1 1 1 241.527025 4.587639e-03 6.372204e-01 3.449056e+02 2.775558e-17 2.220446e-16 1.076670e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 2.68966
125.000000 350.000000 0.182000 11.490000 -1.000000 1.000000 0.000000 79.457081 5.843081e-01 1 1 1 241.527025 5.010340e-03 6.794405e-01 3.449056e+02 5.204170e-18 2.220446e-16 1.042039e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 3.6774
125.000000 350.000000 0.182000 11.860000 -1.000000 1.000000 0.000000 81.418807 6.253435e-01 1 1 1 241.527025 5.459519e-03 7.230428e-01 3.449056e+02 2.949030e-17 5.551115e-17 1.009552e+04 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 5.63912
125.000000 350.000000 0.182000 12.230000 -1.000000 1.000000 0.000000 83.946424 6.681892e-01 1 1 1 241.527025 5.935176e-03 7.680273e-01 3.449056e+02 8.413409e-17 0.000000e+00 9.790170e+03 -6.005424e-03 6.317478e-04 9.123210e-07 -2.253821e-04 -2.428256e-04 -4.988854e-05 8.16674
125.000000 350.000000 0.208000 8.530000 -1.000000 1.000000 0.000000 83.788846 9.585230e-01 1 1 1 239.273048 3.266653e-03 3.792212e-01 3.433310e+02 -3.469447e-17 -2.220446e-16 1.393056e+04 -5.445682e-03 8.512762e-04 1.249122e-05 -1.659116e-04 -2.072479e-04 -5.034953e-05 8.00916
125.000000 350.000000 0.208000 8.900000 -1.000000 1.000000 0.000000 80.403277 8.730409e-01 1 1 1 239.273048 3.641787e-03 4.115118e-01 3.433310e+02 5.724587e-17 -1.665335e-16 1.335394e+04 -5.445682e-03 8.512762e-04 1.249122e-05 -1.659116e-04 -2.072479e-04 -5.034953e-05 4.62359
125.000000 350.000000 0.208000 9.270000 -1.000000 1.000000 0.000000 78.655678 9.360444e-01 1 1 1 239.273048 4.051543e-03 4.451744e-01 3.433310e+02 4.857226e-17 -2.775558e-16 1.282267e+04 -5.445682e-03 8.512762e-04 1.249122e-05 -1.659116e-04 -2.072479e-04 -5.034953e-05 2.87599
